timestamp,Entry No_,G_L Account No_,Posting Date,Document Type,Document No_,Description,Bal_ Account No_,Amount,Global Dimension 1 Code,Global Dimension 2 Code,User ID,Source Code,System-Created Entry,Prior-Year Entry,Job No_,Quantity,VAT Amount,Business Unit Code,Journal Batch Name,Reason Code,Gen_ Posting Type,Gen_ Bus_ Posting Group,Gen_ Prod_ Posting Group,Bal_ Account Type,Transaction No_,Debit Amount,Credit Amount,Document Date,External Document No_,Source Type,Source No_,No_ Series,Tax Area Code,Tax Liable,Tax Group Code,Use Tax,VAT Bus_ Posting Group,VAT Prod_ Posting Group,Additional-Currency Amount,Add_-Currency Debit Amount,Add_-Currency Credit Amount,Close Income Statement Dim_ ID,IC Partner Code,Reversed,Reversed by Entry No_,Reversed Entry No_,Dimension Set ID,Prod_ Order No_,FA Entry Type,FA Entry No_,Last Modified DateTime
0x0000000000058E28,1,0090,2020-12-31 23:59:59.000,0,START,Eröffnungsposten,,2052148.41000000000000000000,,,EUROPE\NAVSNAP,START,1,0,,0.00000000000000000000,0.00000000000000000000,,SACHKT ÖFF,,0,,,0,1,2052148.41000000000000000000,0.00000000000000000000,2020-12-31 23:59:59.000,,0,,,,0,,0,,,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,,0,0,0,0,,0,0,2020-03-03 01:51:34.350
0x0000000000058E29,2,0090,2020-12-31 23:59:59.000,0,START,Eröffnungsposten,,-527453.94000000000000000000,,,EUROPE\NAVSNAP,START,1,0,,0.00000000000000000000,0.00000000000000000000,,SACHKT ÖFF,,0,,,0,1,0.00000000000000000000,527453.94000000000000000000,2020-12-31 23:59:59.000,,0,,,,0,,0,,,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,,0,0,0,0,,0,0,2020-03-03 01:51:34.370
0x0000000000058E2A,3,0210,2020-12-31 23:59:59.000,0,START,Eröffnungsposten,,902753.23000000000000000000,,,EUROPE\NAVSNAP,START,1,0,,0.00000000000000000000,0.00000000000000000000,,SACHKT ÖFF,,0,,,0,1,902753.23000000000000000000,0.00000000000000000000,2020-12-31 23:59:59.000,,0,,,,0,,0,,,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,,0,0,0,0,,0,0,2020-03-03 01:51:34.370
0x0000000000058E2B,4,0210,2020-12-31 23:59:59.000,0,START,Eröffnungsposten,,-561074.74000000000000000000,,,EUROPE\NAVSNAP,START,1,0,,0.00000000000000000000,0.00000000000000000000,,SACHKT ÖFF,,0,,,0,1,0.00000000000000000000,561074.74000000000000000000,2020-12-31 23:59:59.000,,0,,,,0,,0,,,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,,0,0,0,0,,0,0,2020-03-03 01:51:34.373
0x0000000000058E2C,5,0090,2020-12-31 23:59:59.000,0,START,Eröffnungsposten,,239273.18000000000000000000,,,EUROPE\NAVSNAP,START,1,0,,0.00000000000000000000,0.00000000000000000000,,SACHKT ÖFF,,0,,,0,1,239273.18000000000000000000,0.00000000000000000000,2020-12-31 23:59:59.000,,0,,,,0,,0,,,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,,0,0,0,0,,0,0,2020-03-03 01:51:34.407
0x0000000000058E2D,6,0090,2020-12-31 23:59:59.000,0,START,Eröffnungsposten,,-97458.25000000000000000000,,,EUROPE\NAVSNAP,START,1,0,,0.00000000000000000000,0.00000000000000000000,,SACHKT ÖFF,,0,,,0,1,0.00000000000000000000,97458.25000000000000000000,2020-12-31 23:59:59.000,,0,,,,0,,0,,,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,,0,0,0,0,,0,0,2020-03-03 01:51:34.410
0x0000000000058E2E,7,0320,2020-12-31 23:59:59.000,0,START,Eröffnungsposten,,76625.26000000000000000000,,,EUROPE\NAVSNAP,START,1,0,,0.00000000000000000000,0.00000000000000000000,,SACHKT ÖFF,,0,,,0,1,76625.26000000000000000000,0.00000000000000000000,2020-12-31 23:59:59.000,,0,,,,0,,0,,,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,,0,0,0,0,,0,0,2020-03-03 01:51:34.417
0x0000000000058E2F,8,0320,2020-12-31 23:59:59.000,0,START,Eröffnungsposten,,-38416.10000000000000000000,,,EUROPE\NAVSNAP,START,1,0,,0.00000000000000000000,0.00000000000000000000,,SACHKT ÖFF,,0,,,0,1,0.00000000000000000000,38416.10000000000000000000,2020-12-31 23:59:59.000,,0,,,,0,,0,,,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,,0,0,0,0,,0,0,2020-03-03 01:51:34.417
0x0000000000058E30,9,3970,2020-12-31 23:59:59.000,0,START,Eröffnungsposten,,418096.99000000000000000000,,,EUROPE\NAVSNAP,START,1,0,,0.00000000000000000000,0.00000000000000000000,,SACHKT ÖFF,,0,,,0,1,418096.99000000000000000000,0.00000000000000000000,2020-12-31 23:59:59.000,,0,,,,0,,0,,,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,,0,0,0,0,,0,0,2020-03-03 01:51:34.450
0x0000000000058E31,10,3970,2020-12-31 23:59:59.000,0,START,Eröffnungsposten,,209460.30000000000000000000,,,EUROPE\NAVSNAP,START,1,0,,0.00000000000000000000,0.00000000000000000000,,SACHKT ÖFF,,0,,,0,1,209460.30000000000000000000,0.00000000000000000000,2020-12-31 23:59:59.000,,0,,,,0,,0,,,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,,0,0,0,0,,0,0,2020-03-03 01:51:34.453
